id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
307,E. Garay,31,Argentina,82,Valencia CF,15.0,0,24.0,188.0,89.0,62.0,58.0,80.0,69.0,49.0,60.0,72.0,73.0,34.0,54.0,80.0,76.0,62.0,88.0,64.0,77.0,42.0,63.0,69.0
308,Jardel,32,Brazil,82,SL Benfica,12.5,0,33.0,195.0,87.0,46.0,38.0,85.0,68.0,27.0,52.0,53.0,60.0,50.0,35.0,58.0,77.0,68.0,89.0,37.0,83.0,30.0,49.0,57.0
309,S. Sirigu,31,Italy,82,Torino,13.5,0,1.0,195.0,79.0,13.0,10.0,11.0,23.0,12.0,15.0,28.0,18.0,50.0,52.0,20.0,68.0,34.0,66.0,14.0,34.0,10.0,55.0,19.0
310,E. Viviano,32,Italy,82,Sporting CP,12.5,1,1.0,198.0,89.0,12.0,17.0,13.0,36.0,13.0,18.0,37.0,22.0,30.0,35.0,21.0,66.0,29.0,58.0,18.0,18.0,10.0,60.0,21.0
311,L. Koscielny,32,France,82,Arsenal,12.5,0,6.0,185.0,74.0,52.0,32.0,80.0,76.0,35.0,62.0,69.0,66.0,64.0,65.0,54.0,78.0,62.0,75.0,47.0,86.0,41.0,56.0,51.0
312,A. Consigli,31,Italy,82,Sassuolo,13.5,0,47.0,188.0,82.0,10.0,10.0,10.0,31.0,19.0,10.0,27.0,23.0,48.0,57.0,24.0,80.0,31.0,51.0,19.0,11.0,10.0,46.0,21.0
313,L. Biglia,32,Argentina,82,Milan,12.5,0,21.0,155.0,63.0,74.0,50.0,54.0,86.0,78.0,80.0,82.0,84.0,65.0,76.0,77.0,62.0,75.0,65.0,75.0,83.0,50.0,80.0,72.0
314,Dani Alves,35,Brazil,82,Paris Saint-Germain,4.8,0,13.0,176.0,68.0,85.0,61.0,72.0,81.0,68.0,84.0,79.0,86.0,77.0,84.0,86.0,80.0,74.0,55.0,78.0,78.0,74.0,78.0,70.0
315,David Villa,36,Spain,82,New York City FC,8.0,0,7.0,179.0,68.0,71.0,86.0,67.0,76.0,79.0,83.0,67.0,85.0,72.0,71.0,81.0,67.0,70.0,66.0,79.0,67.0,86.0,75.0,88.0
316,Aduriz,37,Spain,82,Athletic Club de Bilbao,8.0,0,20.0,182.0,78.0,54.0,83.0,92.0,72.0,80.0,76.0,52.0,82.0,64.0,50.0,82.0,90.0,60.0,82.0,78.0,82.0,87.0,73.0,82.0
317,P. Čech,36,Czech Republic,82,Arsenal,3.0,1,1.0,198.0,89.0,19.0,12.0,19.0,35.0,17.0,12.0,33.0,22.0,35.0,46.0,21.0,50.0,32.0,63.0,11.0,17.0,13.0,53.0,23.0
318,Casillas,37,Spain,82,FC Porto,1.5,1,1.0,185.0,83.0,13.0,12.0,25.0,21.0,14.0,25.0,22.0,23.0,59.0,62.0,28.0,77.0,43.0,70.0,13.0,23.0,16.0,65.0,24.0
319,M. Rashford,20,England,81,Manchester United,27.0,0,11.0,185.0,69.0,75.0,78.0,71.0,75.0,72.0,83.0,65.0,80.0,90.0,88.0,87.0,68.0,79.0,71.0,77.0,70.0,81.0,74.0,74.0
320,Laure Santeiro,30,Brazil,81,Fluminense,17.0,1,8.0,173.0,63.0,73.0,72.0,44.0,79.0,67.0,82.0,80.0,82.0,86.0,89.0,67.0,44.0,67.0,48.0,75.0,41.0,82.0,80.0,74.0
321,L. Bailey,20,Jamaica,81,Bayer 04 Leverkusen,26.5,1,9.0,155.0,78.0,77.0,75.0,57.0,75.0,75.0,86.0,66.0,82.0,94.0,86.0,79.0,86.0,76.0,59.0,77.0,58.0,80.0,77.0,71.0
322,M. Akanji,22,Switzerland,81,Borussia Dortmund,21.0,0,5.0,188.0,84.0,51.0,36.0,75.0,78.0,40.0,67.0,76.0,75.0,72.0,69.0,58.0,78.0,76.0,84.0,45.0,75.0,33.0,66.0,40.0
323,F. de Jong,21,Netherlands,81,Ajax,26.0,0,7.0,155.0,69.0,75.0,52.0,64.0,87.0,64.0,86.0,82.0,88.0,74.0,84.0,68.0,76.0,74.0,69.0,55.0,62.0,63.0,85.0,45.0
324,Nélson Semedo,24,Portugal,81,FC Barcelona,20.0,0,2.0,155.0,67.0,74.0,50.0,58.0,73.0,42.0,80.0,65.0,78.0,91.0,88.0,74.0,80.0,91.0,62.0,60.0,77.0,72.0,62.0,38.0
325,Pablo Fornals,22,Spain,81,Villarreal CF,24.0,0,8.0,155.0,67.0,74.0,77.0,50.0,84.0,70.0,81.0,80.0,81.0,71.0,79.0,75.0,59.0,77.0,67.0,80.0,69.0,77.0,86.0,46.0
326,Fabián,22,Spain,81,Napoli,26.0,1,8.0,188.0,69.0,72.0,79.0,67.0,80.0,65.0,81.0,80.0,83.0,69.0,73.0,75.0,46.0,73.0,69.0,82.0,66.0,80.0,82.0,67.0
327,E. Bailly,24,Ivory Coast,81,Manchester United,21.0,0,2.0,185.0,77.0,51.0,33.0,79.0,70.0,42.0,60.0,56.0,65.0,68.0,65.0,55.0,85.0,72.0,85.0,48.0,87.0,47.0,54.0,46.0
328,Dani Ceballos,21,Spain,81,Real Madrid,25.0,0,21.0,155.0,69.0,74.0,68.0,41.0,83.0,62.0,85.0,80.0,85.0,73.0,82.0,64.0,52.0,75.0,62.0,71.0,76.0,76.0,83.0,55.0
329,H. Lozano,22,Mexico,81,PSV,24.0,0,22.0,179.0,69.0,75.0,77.0,60.0,74.0,75.0,84.0,67.0,80.0,94.0,91.0,76.0,75.0,80.0,59.0,76.0,64.0,77.0,75.0,64.0
330,Morales,30,Spain,81,Levante UD,17.0,0,11.0,155.0,69.0,79.0,80.0,54.0,75.0,64.0,87.0,68.0,83.0,88.0,78.0,76.0,62.0,82.0,60.0,80.0,58.0,77.0,75.0,76.0
331,J. Seri,26,Ivory Coast,81,Fulham,20.5,0,24.0,173.0,73.0,72.0,69.0,60.0,86.0,47.0,78.0,84.0,84.0,75.0,82.0,78.0,69.0,75.0,63.0,76.0,73.0,73.0,83.0,67.0
332,M. Politano,24,Italy,81,Inter,22.5,1,16.0,173.0,67.0,79.0,74.0,40.0,78.0,73.0,84.0,74.0,83.0,85.0,90.0,78.0,50.0,79.0,45.0,82.0,63.0,77.0,75.0,70.0
333,M. Brozović,25,Croatia,81,Inter,18.5,0,77.0,155.0,68.0,72.0,69.0,62.0,83.0,65.0,81.0,83.0,83.0,69.0,74.0,80.0,68.0,84.0,66.0,81.0,79.0,69.0,80.0,69.0
334,Williams,24,Spain,81,Athletic Club de Bilbao,24.5,0,9.0,185.0,78.0,78.0,77.0,70.0,79.0,68.0,82.0,66.0,81.0,92.0,80.0,85.0,86.0,75.0,85.0,78.0,66.0,76.0,75.0,64.0
335,A. Correa,23,Argentina,81,Atlético Madrid,24.5,0,11.0,173.0,68.0,74.0,82.0,67.0,73.0,79.0,87.0,65.0,87.0,87.0,87.0,80.0,50.0,74.0,63.0,83.0,41.0,82.0,78.0,55.0
336,A. Christensen,22,Denmark,81,Chelsea,21.5,0,6.0,188.0,81.0,49.0,36.0,80.0,77.0,25.0,68.0,72.0,74.0,66.0,61.0,31.0,72.0,69.0,73.0,20.0,73.0,32.0,62.0,36.0
337,João Mário,25,Portugal,81,Inter,22.5,0,10.0,155.0,73.0,77.0,64.0,55.0,83.0,69.0,83.0,78.0,83.0,73.0,81.0,76.0,64.0,79.0,68.0,72.0,60.0,77.0,81.0,66.0
338,T. Strakosha,23,Albania,81,Lazio,17.0,0,1.0,195.0,78.0,18.0,18.0,11.0,26.0,11.0,14.0,22.0,15.0,41.0,31.0,18.0,49.0,23.0,56.0,14.0,20.0,18.0,49.0,21.0
339,E. Hysaj,24,Albania,81,Napoli,20.0,0,23.0,182.0,69.0,78.0,47.0,66.0,77.0,40.0,75.0,70.0,77.0,79.0,76.0,68.0,69.0,87.0,69.0,43.0,79.0,63.0,59.0,40.0
340,P. Zieliński,24,Poland,81,Napoli,24.5,0,20.0,155.0,74.0,77.0,65.0,52.0,82.0,70.0,84.0,79.0,85.0,82.0,79.0,76.0,54.0,72.0,54.0,80.0,56.0,77.0,82.0,51.0
341,Ricardo Pereira,24,Portugal,81,Leicester City,19.0,0,14.0,179.0,69.0,81.0,61.0,64.0,80.0,56.0,83.0,78.0,79.0,88.0,82.0,67.0,74.0,84.0,60.0,62.0,75.0,75.0,75.0,60.0
342,Grimaldo,22,Spain,81,SL Benfica,20.5,1,3.0,173.0,68.0,83.0,50.0,65.0,79.0,58.0,83.0,78.0,82.0,85.0,85.0,78.0,64.0,83.0,63.0,72.0,68.0,75.0,60.0,51.0
343,R. Guerreiro,24,Portugal,81,Borussia Dortmund,24.0,1,13.0,173.0,71.0,85.0,75.0,52.0,84.0,78.0,83.0,75.0,84.0,82.0,88.0,79.0,63.0,72.0,49.0,82.0,69.0,77.0,79.0,44.0
344,A. Doucouré,25,France,81,Watford,19.5,0,16.0,182.0,76.0,68.0,73.0,66.0,82.0,68.0,78.0,74.0,80.0,63.0,60.0,84.0,72.0,93.0,81.0,75.0,78.0,73.0,76.0,54.0
345,J. Martínez,25,Venezuela,81,Atlanta United,22.5,0,17.0,173.0,68.0,53.0,84.0,77.0,68.0,73.0,75.0,55.0,78.0,89.0,91.0,79.0,86.0,72.0,73.0,65.0,66.0,84.0,58.0,70.0
346,C. Bacca,31,Colombia,81,Villarreal CF,16.0,0,7.0,155.0,77.0,60.0,84.0,75.0,68.0,78.0,80.0,55.0,80.0,73.0,73.0,80.0,74.0,66.0,74.0,60.0,58.0,90.0,68.0,80.0
347,A. Plea,25,France,81,Borussia Mönchengladbach,22.0,0,14.0,155.0,78.0,78.0,82.0,73.0,76.0,81.0,78.0,68.0,79.0,78.0,79.0,83.0,75.0,82.0,77.0,81.0,63.0,83.0,78.0,65.0
348,B. Davies,25,Wales,81,Tottenham Hotspur,18.5,1,4.0,182.0,76.0,83.0,58.0,69.0,79.0,48.0,76.0,70.0,79.0,76.0,70.0,65.0,73.0,85.0,69.0,52.0,76.0,71.0,75.0,54.0
349,M. Nastasić,25,Serbia,81,FC Schalke 04,18.5,1,5.0,188.0,83.0,46.0,30.0,78.0,73.0,32.0,43.0,69.0,65.0,65.0,65.0,44.0,81.0,62.0,78.0,22.0,78.0,30.0,55.0,52.0
350,A. Milik,24,Poland,81,Napoli,25.5,1,7.0,185.0,78.0,58.0,88.0,78.0,63.0,76.0,74.0,62.0,78.0,69.0,68.0,85.0,62.0,73.0,78.0,82.0,67.0,81.0,60.0,79.0
351,M. Sabitzer,24,Austria,81,RB Leipzig,22.5,0,9.0,155.0,77.0,70.0,79.0,56.0,79.0,78.0,79.0,67.0,81.0,83.0,75.0,86.0,75.0,84.0,76.0,81.0,70.0,81.0,79.0,65.0
352,B. Mendy,23,France,81,Manchester City,20.0,1,22.0,185.0,84.0,87.0,33.0,65.0,80.0,31.0,80.0,69.0,79.0,77.0,68.0,79.0,71.0,81.0,81.0,65.0,75.0,77.0,76.0,50.0
353,C. Kramer,27,Germany,81,Borussia Mönchengladbach,17.0,0,6.0,192.0,76.0,61.0,45.0,58.0,80.0,49.0,71.0,72.0,81.0,52.0,66.0,53.0,51.0,93.0,69.0,40.0,78.0,70.0,73.0,47.0
354,S. Vrsaljko,26,Croatia,81,Inter,18.0,0,2.0,155.0,76.0,82.0,44.0,73.0,77.0,53.0,74.0,70.0,79.0,82.0,67.0,75.0,85.0,90.0,73.0,58.0,75.0,65.0,68.0,52.0
355,T. Hazard,25,Belgium,81,Borussia Mönchengladbach,21.5,0,16.0,179.0,68.0,77.0,69.0,38.0,81.0,80.0,85.0,72.0,83.0,86.0,91.0,78.0,63.0,77.0,62.0,77.0,57.0,81.0,80.0,83.0
356,K. Bellarabi,28,Germany,81,Bayer 04 Leverkusen,18.0,0,38.0,182.0,81.0,76.0,72.0,48.0,78.0,72.0,87.0,58.0,83.0,90.0,86.0,85.0,75.0,73.0,68.0,77.0,59.0,76.0,76.0,57.0
357,S. Zaza,27,Italy,81,Torino,21.0,1,11.0,185.0,83.0,52.0,80.0,79.0,71.0,81.0,77.0,45.0,79.0,79.0,76.0,85.0,89.0,76.0,88.0,72.0,87.0,83.0,66.0,79.0
358,F. Ghoulam,27,Algeria,81,Napoli,16.5,1,31.0,182.0,79.0,85.0,54.0,70.0,79.0,52.0,79.0,74.0,80.0,71.0,72.0,80.0,73.0,88.0,68.0,69.0,74.0,69.0,69.0,76.0
359,B. Lecomte,27,France,81,Montpellier HSC,15.0,1,40.0,185.0,78.0,13.0,11.0,10.0,17.0,10.0,11.0,21.0,23.0,44.0,36.0,18.0,62.0,34.0,55.0,10.0,23.0,10.0,41.0,20.0
360,J. Iličić,30,Slovenia,81,Atalanta,17.0,1,7.0,192.0,78.0,78.0,78.0,58.0,82.0,80.0,83.0,74.0,87.0,67.0,70.0,87.0,33.0,64.0,74.0,87.0,58.0,80.0,82.0,78.0
361,K. Volland,25,Germany,81,Bayer 04 Leverkusen,22.0,1,31.0,155.0,84.0,78.0,81.0,67.0,81.0,77.0,79.0,67.0,81.0,78.0,73.0,85.0,78.0,88.0,82.0,81.0,78.0,81.0,81.0,72.0
362,Paco Alcácer,24,Spain,81,Borussia Dortmund,23.5,0,9.0,179.0,72.0,53.0,85.0,77.0,76.0,84.0,78.0,51.0,81.0,82.0,83.0,80.0,75.0,65.0,64.0,68.0,59.0,86.0,65.0,71.0
363,Vitolo,28,Spain,81,Atlético Madrid,18.0,0,23.0,185.0,78.0,78.0,77.0,65.0,79.0,75.0,84.0,80.0,83.0,78.0,74.0,77.0,70.0,80.0,81.0,73.0,61.0,80.0,78.0,74.0
364,G. Xhaka,25,Switzerland,81,Arsenal,22.0,1,10.0,185.0,82.0,71.0,49.0,62.0,85.0,50.0,70.0,85.0,80.0,47.0,49.0,88.0,32.0,80.0,75.0,80.0,92.0,77.0,81.0,63.0
365,D. Tadić,29,Serbia,81,Ajax,17.5,1,10.0,155.0,76.0,83.0,74.0,63.0,81.0,73.0,85.0,77.0,86.0,69.0,82.0,69.0,64.0,69.0,62.0,65.0,56.0,75.0,85.0,71.0
366,C. Aránguiz,29,Chile,81,Bayer 04 Leverkusen,17.0,0,20.0,173.0,69.0,78.0,64.0,53.0,84.0,68.0,75.0,83.0,82.0,76.0,80.0,80.0,61.0,87.0,63.0,75.0,80.0,75.0,81.0,76.0
367,S. Verdi,25,Italy,81,Napoli,19.5,1,9.0,173.0,60.0,82.0,67.0,42.0,82.0,74.0,84.0,76.0,86.0,88.0,92.0,81.0,51.0,75.0,48.0,77.0,48.0,76.0,82.0,68.0
368,D. Lovren,28,Croatia,81,Liverpool,16.0,0,6.0,188.0,83.0,59.0,33.0,80.0,69.0,42.0,63.0,66.0,67.0,54.0,50.0,63.0,81.0,68.0,82.0,34.0,87.0,21.0,56.0,52.0
369,G. Medel,30,Chile,81,Beşiktaş JK,13.0,0,17.0,173.0,64.0,50.0,31.0,68.0,79.0,58.0,63.0,78.0,71.0,72.0,78.0,65.0,89.0,84.0,83.0,59.0,89.0,58.0,72.0,58.0
370,X. Shaqiri,26,Switzerland,81,Liverpool,19.0,1,23.0,173.0,72.0,78.0,71.0,45.0,81.0,76.0,86.0,80.0,84.0,84.0,84.0,87.0,52.0,75.0,73.0,84.0,61.0,74.0,81.0,65.0
371,J. Corona,25,Mexico,81,FC Porto,21.5,0,17.0,176.0,62.0,73.0,76.0,67.0,76.0,75.0,91.0,68.0,84.0,87.0,90.0,66.0,72.0,74.0,39.0,67.0,45.0,80.0,77.0,68.0
372,A. Areola,25,France,81,Paris Saint-Germain,16.5,0,23.0,198.0,93.0,20.0,19.0,14.0,41.0,16.0,12.0,32.0,22.0,54.0,53.0,25.0,59.0,28.0,80.0,14.0,26.0,17.0,34.0,25.0
373,K. Vogt,26,Germany,81,TSG 1899 Hoffenheim,17.5,0,22.0,195.0,84.0,60.0,50.0,79.0,79.0,51.0,67.0,83.0,71.0,66.0,59.0,78.0,54.0,74.0,85.0,57.0,81.0,55.0,67.0,53.0
374,Ander Herrera,28,Spain,81,Manchester United,17.5,0,21.0,182.0,69.0,74.0,71.0,58.0,83.0,65.0,77.0,79.0,82.0,75.0,79.0,75.0,61.0,87.0,67.0,69.0,86.0,78.0,78.0,79.0
375,E. Salvio,27,Argentina,81,SL Benfica,18.5,0,18.0,176.0,77.0,78.0,77.0,73.0,75.0,72.0,85.0,72.0,84.0,89.0,83.0,80.0,87.0,85.0,63.0,76.0,69.0,83.0,76.0,75.0
376,S. El Shaarawy,25,Italy,81,Roma,21.0,0,92.0,155.0,72.0,74.0,78.0,51.0,74.0,79.0,84.0,57.0,86.0,86.0,85.0,74.0,60.0,68.0,54.0,74.0,54.0,78.0,73.0,67.0
377,C. Smalling,28,England,81,Manchester United,16.0,0,12.0,195.0,81.0,52.0,54.0,82.0,63.0,49.0,59.0,63.0,58.0,61.0,55.0,42.0,76.0,71.0,87.0,35.0,83.0,48.0,49.0,52.0
378,Hulk,31,Brazil,81,Shanghai SIPG FC,15.5,1,10.0,155.0,84.0,76.0,81.0,69.0,78.0,73.0,82.0,72.0,79.0,81.0,69.0,94.0,69.0,86.0,92.0,90.0,83.0,82.0,75.0,78.0
379,S. Kagawa,29,Japan,81,Borussia Dortmund,17.5,0,23.0,179.0,68.0,65.0,76.0,48.0,83.0,76.0,86.0,72.0,83.0,74.0,87.0,54.0,65.0,82.0,39.0,55.0,30.0,80.0,80.0,80.0
380,M. Lanzini,25,Argentina,81,West Ham United,23.0,0,10.0,170.0,58.0,74.0,70.0,56.0,80.0,61.0,87.0,78.0,86.0,84.0,86.0,75.0,75.0,73.0,39.0,76.0,48.0,73.0,79.0,73.0
381,F. Smolov,28,Russia,81,Lokomotiv Moscow,18.5,0,11.0,188.0,79.0,56.0,84.0,70.0,77.0,79.0,77.0,62.0,78.0,88.0,75.0,80.0,67.0,74.0,75.0,81.0,67.0,84.0,75.0,74.0
382,L. Stindl,29,Germany,81,Borussia Mönchengladbach,18.0,0,13.0,155.0,79.0,76.0,79.0,64.0,85.0,86.0,78.0,69.0,83.0,74.0,70.0,81.0,73.0,78.0,69.0,83.0,74.0,84.0,83.0,80.0
383,O. Toprak,28,Turkey,81,Borussia Dortmund,16.0,0,36.0,185.0,83.0,49.0,28.0,80.0,75.0,47.0,63.0,70.0,71.0,71.0,64.0,62.0,80.0,67.0,78.0,29.0,70.0,35.0,59.0,43.0
384,D. Perotti,29,Argentina,81,Roma,17.5,0,8.0,155.0,69.0,79.0,66.0,57.0,81.0,60.0,88.0,69.0,88.0,86.0,83.0,73.0,64.0,73.0,60.0,71.0,51.0,78.0,84.0,90.0
385,F. Muslera,32,Uruguay,81,Galatasaray SK,10.0,0,1.0,192.0,73.0,15.0,10.0,12.0,44.0,10.0,25.0,47.0,23.0,60.0,68.0,25.0,84.0,45.0,68.0,10.0,32.0,13.0,58.0,24.0
386,B. Höwedes,30,Germany,81,Lokomotiv Moscow,13.0,0,5.0,188.0,77.0,58.0,51.0,83.0,72.0,45.0,59.0,64.0,65.0,52.0,60.0,57.0,78.0,61.0,78.0,31.0,78.0,51.0,57.0,56.0
387,S. Kjær,29,Denmark,81,Sevilla FC,14.0,0,4.0,188.0,83.0,54.0,55.0,82.0,73.0,37.0,46.0,69.0,71.0,56.0,40.0,78.0,70.0,76.0,80.0,41.0,75.0,31.0,49.0,61.0
388,S. Bender,29,Germany,81,Bayer 04 Leverkusen,14.0,0,5.0,185.0,79.0,43.0,39.0,75.0,74.0,54.0,58.0,69.0,60.0,65.0,63.0,73.0,73.0,83.0,77.0,62.0,82.0,49.0,65.0,34.0
389,M. Valbuena,33,France,81,Fenerbahçe SK,11.0,0,28.0,170.0,63.0,82.0,74.0,48.0,82.0,76.0,83.0,77.0,82.0,81.0,86.0,75.0,60.0,73.0,37.0,79.0,52.0,76.0,77.0,68.0
390,Pedro León,31,Spain,81,SD Eibar,15.5,0,21.0,182.0,73.0,91.0,76.0,36.0,83.0,68.0,84.0,85.0,85.0,63.0,68.0,84.0,39.0,65.0,63.0,80.0,55.0,79.0,82.0,71.0
391,K. Boateng,31,Ghana,81,Sassuolo,15.0,0,27.0,185.0,86.0,75.0,78.0,74.0,82.0,83.0,79.0,78.0,84.0,67.0,77.0,84.0,76.0,68.0,78.0,78.0,83.0,79.0,78.0,67.0
392,L. Piszczek,33,Poland,81,Borussia Dortmund,7.0,0,26.0,182.0,78.0,82.0,65.0,74.0,76.0,64.0,72.0,69.0,76.0,74.0,66.0,78.0,77.0,77.0,78.0,69.0,83.0,73.0,71.0,65.0
393,A. Candreva,31,Italy,81,Inter,15.5,0,87.0,155.0,69.0,83.0,73.0,55.0,78.0,75.0,82.0,73.0,83.0,77.0,74.0,87.0,35.0,86.0,69.0,82.0,66.0,79.0,77.0,83.0
394,D. Wass,29,Denmark,81,Valencia CF,17.0,0,18.0,155.0,73.0,78.0,74.0,67.0,82.0,71.0,80.0,79.0,81.0,74.0,79.0,86.0,59.0,90.0,70.0,77.0,62.0,73.0,81.0,64.0
395,E. Lamela,26,Argentina,81,Tottenham Hotspur,21.0,1,22.0,182.0,79.0,78.0,74.0,69.0,83.0,77.0,86.0,73.0,84.0,76.0,75.0,81.0,63.0,78.0,68.0,82.0,84.0,79.0,83.0,75.0
396,D. Rose,27,England,81,Tottenham Hotspur,14.5,1,3.0,179.0,76.0,82.0,57.0,62.0,76.0,64.0,80.0,66.0,77.0,79.0,69.0,68.0,75.0,78.0,72.0,67.0,87.0,68.0,73.0,57.0
397,C. Vela,29,Mexico,81,Los Angeles FC,17.5,1,10.0,155.0,77.0,79.0,81.0,70.0,81.0,82.0,83.0,66.0,83.0,78.0,81.0,74.0,68.0,74.0,67.0,80.0,57.0,81.0,81.0,72.0
398,Renato Augusto,30,Brazil,81,Beijing Sinobo Guoan FC,16.5,0,5.0,185.0,86.0,75.0,65.0,57.0,81.0,77.0,82.0,81.0,81.0,66.0,66.0,81.0,49.0,81.0,76.0,81.0,58.0,75.0,81.0,68.0
399,A. Valencia,32,Ecuador,81,Manchester United,10.0,0,16.0,155.0,83.0,79.0,60.0,62.0,81.0,64.0,80.0,72.0,81.0,82.0,72.0,85.0,69.0,79.0,79.0,66.0,80.0,73.0,71.0,55.0
400,L. Fabiański,33,Poland,81,West Ham United,9.0,0,22.0,192.0,83.0,14.0,13.0,11.0,20.0,17.0,14.0,32.0,22.0,50.0,52.0,14.0,68.0,25.0,65.0,20.0,43.0,15.0,52.0,22.0
401,João Moutinho,31,Portugal,81,Wolverhampton Wanderers,15.0,0,28.0,173.0,60.0,77.0,74.0,70.0,83.0,76.0,79.0,81.0,82.0,66.0,76.0,76.0,77.0,78.0,63.0,80.0,74.0,74.0,80.0,70.0
402,Borja Valero,33,Spain,81,Inter,11.0,0,20.0,179.0,73.0,78.0,67.0,60.0,89.0,70.0,85.0,85.0,88.0,55.0,74.0,72.0,67.0,69.0,66.0,70.0,52.0,70.0,86.0,72.0
403,F. Quagliarella,35,Italy,81,Sampdoria,8.0,0,27.0,155.0,78.0,66.0,84.0,68.0,76.0,87.0,76.0,73.0,81.0,73.0,71.0,87.0,69.0,66.0,76.0,89.0,44.0,84.0,77.0,84.0
404,B. Gomis,32,France,81,Al Hilal,14.0,0,18.0,182.0,77.0,61.0,84.0,82.0,75.0,79.0,78.0,46.0,79.0,69.0,59.0,84.0,74.0,68.0,83.0,75.0,52.0,79.0,69.0,83.0
405,Manuel Fernandes,32,Portugal,81,Lokomotiv Moscow,14.0,0,4.0,179.0,74.0,79.0,70.0,59.0,80.0,69.0,86.0,80.0,83.0,83.0,82.0,81.0,74.0,76.0,71.0,82.0,68.0,75.0,81.0,73.0
406,H. Herrera,28,Mexico,81,FC Porto,17.5,0,16.0,182.0,72.0,63.0,68.0,59.0,78.0,59.0,76.0,75.0,78.0,71.0,66.0,81.0,66.0,94.0,73.0,78.0,83.0,81.0,77.0,64.0
407,Raffael,33,Brazil,81,Borussia Mönchengladbach,11.0,0,11.0,179.0,68.0,78.0,78.0,63.0,83.0,83.0,87.0,76.0,85.0,74.0,83.0,77.0,70.0,62.0,62.0,74.0,66.0,82.0,81.0,72.0
408,Nani,31,Portugal,81,Sporting CP,15.5,0,17.0,155.0,68.0,80.0,70.0,61.0,79.0,75.0,87.0,77.0,86.0,77.0,92.0,85.0,37.0,74.0,62.0,83.0,61.0,74.0,79.0,72.0
409,J. Milner,32,England,81,Liverpool,13.5,0,7.0,179.0,69.0,86.0,62.0,66.0,84.0,76.0,76.0,81.0,79.0,63.0,69.0,82.0,62.0,91.0,71.0,70.0,82.0,72.0,79.0,83.0
410,J. Mathieu,34,France,81,Sporting CP,5.5,1,22.0,188.0,83.0,79.0,52.0,80.0,73.0,61.0,65.0,77.0,62.0,68.0,52.0,80.0,65.0,78.0,89.0,74.0,72.0,58.0,58.0,72.0
411,Joaquín,36,Spain,81,Real Betis,6.0,0,17.0,155.0,74.0,86.0,80.0,59.0,82.0,68.0,85.0,83.0,83.0,69.0,72.0,74.0,33.0,54.0,64.0,76.0,53.0,81.0,84.0,75.0
412,M. Gómez,21,Uruguay,80,RC Celta,20.5,0,18.0,185.0,83.0,56.0,85.0,81.0,76.0,76.0,76.0,58.0,77.0,61.0,45.0,79.0,73.0,71.0,80.0,76.0,65.0,83.0,60.0,67.0
413,K. Havertz,19,Germany,80,Bayer 04 Leverkusen,22.0,1,29.0,188.0,83.0,69.0,72.0,65.0,82.0,71.0,81.0,73.0,83.0,77.0,78.0,66.0,69.0,73.0,61.0,66.0,40.0,78.0,83.0,49.0
414,T. Ndombele,21,France,80,Olympique Lyonnais,22.5,0,17.0,155.0,76.0,67.0,59.0,56.0,82.0,59.0,86.0,79.0,84.0,84.0,83.0,80.0,63.0,78.0,78.0,70.0,81.0,70.0,79.0,60.0
415,H. Aouar,20,France,80,Olympique Lyonnais,23.5,0,8.0,179.0,69.0,68.0,72.0,54.0,84.0,68.0,84.0,78.0,82.0,79.0,81.0,61.0,61.0,79.0,61.0,67.0,69.0,73.0,84.0,63.0
416,Carlos Soler,21,Spain,80,Valencia CF,21.0,0,8.0,155.0,76.0,80.0,74.0,56.0,84.0,66.0,79.0,79.0,82.0,75.0,75.0,77.0,59.0,78.0,65.0,73.0,49.0,77.0,83.0,73.0
417,Odriozola,22,Spain,80,Real Madrid,18.5,0,19.0,179.0,66.0,81.0,45.0,73.0,77.0,48.0,69.0,70.0,77.0,80.0,78.0,58.0,71.0,80.0,63.0,59.0,63.0,68.0,63.0,62.0
418,M. Almirón,24,Paraguay,80,Atlanta United,19.5,1,10.0,179.0,63.0,71.0,74.0,43.0,79.0,75.0,81.0,70.0,79.0,90.0,86.0,78.0,46.0,85.0,52.0,73.0,65.0,74.0,79.0,64.0
419,Welington Dano,30,Brazil,80,Cruzeiro,10.5,1,5.0,155.0,68.0,82.0,51.0,69.0,78.0,47.0,77.0,71.0,78.0,78.0,83.0,55.0,71.0,89.0,68.0,53.0,69.0,72.0,75.0,61.0
420,Everton Andrão,34,Brazil,80,Fluminense,4.5,0,6.0,155.0,74.0,75.0,58.0,59.0,78.0,58.0,75.0,75.0,77.0,69.0,78.0,72.0,67.0,89.0,71.0,64.0,81.0,54.0,73.0,61.0
421,Oyarzabal,21,Spain,80,Real Sociedad,21.0,1,10.0,155.0,78.0,81.0,78.0,44.0,80.0,64.0,84.0,73.0,85.0,72.0,70.0,73.0,58.0,71.0,59.0,79.0,40.0,80.0,79.0,52.0
422,F. Balbuena,26,Paraguay,80,West Ham United,15.5,0,4.0,188.0,84.0,33.0,31.0,82.0,71.0,24.0,47.0,56.0,56.0,56.0,42.0,71.0,73.0,76.0,84.0,34.0,82.0,27.0,45.0,48.0
